,cost,probabilities,shares,p_shares,payments,round_num
0,109.86122886681098,"{'A': 0.3333333333333333, 'B': 0.3333333333333333, 'C': 0.3333333333333333}","{'A': 0.0, 'B': 0.0, 'C': 0.0}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}",0
1,110.30361500613483,"{'A': 0.3328801564024495, 'B': 0.3330295498463453, 'C': 0.33409029375120525}","{'A': 0.30634056001262866, 'B': 0.3512095399960239, 'C': 0.6692168092954401}","{1: {'A': 0.30634056001262866, 'B': 0.3512095399960239, 'C': 0.6692168092954401}, 2: {'A': 0.30634056001262866, 'B': 0.3512095399960239, 'C': 0.6692168092954401}, 3: {'A': 0.30634056001262866, 'B': 0.3512095399960239, 'C': 0.6692168092954401}}","{1: {'A': 0.4423861393238582, 'B': 0.4423861393238582, 'C': 0.4423861393238582}, 2: {'A': 0.4423861393238582, 'B': 0.4423861393238582, 'C': 0.4423861393238582}, 3: {'A': 0.4423861393238582, 'B': 0.4423861393238582, 'C': 0.4423861393238582}}",1
2,110.73490408926827,"{'A': 0.3341975228445269, 'B': 0.3320421146185492, 'C': 0.3337603625369238}","{'A': 1.1325965849655495, 'B': 0.48555740427837124, 'C': 1.0017019942772698}","{1: {'A': 0.8262560249529208, 'B': 0.13434786428234735, 'C': 0.33248518498182966}, 2: {'A': 0.8262560249529208, 'B': 0.13434786428234735, 'C': 0.33248518498182966}, 3: {'A': 0.8262560249529208, 'B': 0.13434786428234735, 'C': 0.33248518498182966}}","{1: {'A': 0.43185725774362993, 'B': 0.4311056003803344, 'C': 0.4312322019150798}, 2: {'A': 0.43185725774362993, 'B': 0.4311056003803344, 'C': 0.4312322019150798}, 3: {'A': 0.43185725774362993, 'B': 0.4311056003803344, 'C': 0.4312322019150798}}",2
3,111.20909703687165,"{'A': 0.3340748203965927, 'B': 0.33197834898715206, 'C': 0.33394683061625524}","{'A': 1.5700672439528867, 'B': 0.9405444282429439, 'C': 1.5317481919552447}","{1: {'A': 0.43747065898733706, 'B': 0.4549870239645727, 'C': 0.5300461976779749}, 2: {'A': 0.43747065898733706, 'B': 0.4549870239645727, 'C': 0.5300461976779749}, 3: {'A': 0.43747065898733706, 'B': 0.4549870239645727, 'C': 0.5300461976779749}}","{1: {'A': 0.47403721272114296, 'B': 0.474144942511046, 'C': 0.4743629358190731}, 2: {'A': 0.47403721272114296, 'B': 0.474144942511046, 'C': 0.4743629358190731}, 3: {'A': 0.47403721272114296, 'B': 0.474144942511046, 'C': 0.4743629358190731}}",3
4,111.91438641611991,"{'A': 0.33414885267768357, 'B': 0.3319101748950441, 'C': 0.3339409724272724}","{'A': 2.2975145575506364, 'B': 1.6252959943207106, 'C': 2.2352833277643214}","{1: {'A': 0.7274473135977495, 'B': 0.6847515660777668, 'C': 0.7035351358090765}, 2: {'A': 0.7274473135977495, 'B': 0.6847515660777668, 'C': 0.7035351358090765}, 3: {'A': 0.7274473135977495, 'B': 0.6847515660777668, 'C': 0.7035351358090765}}","{1: {'A': 0.7053627043749344, 'B': 0.7051818507141263, 'C': 0.705237439749709}, 2: {'A': 0.7053627043749344, 'B': 0.7051818507141263, 'C': 0.705237439749709}, 3: {'A': 0.7053627043749344, 'B': 0.7051818507141263, 'C': 0.705237439749709}}",4
5,112.44647409778656,"{'A': 0.33321547859978107, 'B': 0.33310559358408354, 'C': 0.3336789278161355}","{'A': 2.5498825590540615, 'B': 2.516899956137544, 'C': 2.6888698669400717}","{1: {'A': 0.252368001503425, 'B': 0.8916039618168334, 'C': 0.4535865391757502}, 2: {'A': 0.252368001503425, 'B': 0.8916039618168334, 'C': 0.4535865391757502}, 3: {'A': 0.252368001503425, 'B': 0.8916039618168334, 'C': 0.4535865391757502}}","{1: {'A': 0.5307223284660552, 'B': 0.5348279091325452, 'C': 0.5322829972727874}, 2: {'A': 0.5307223284660552, 'B': 0.5348279091325452, 'C': 0.5322829972727874}, 3: {'A': 0.5307223284660552, 'B': 0.5348279091325452, 'C': 0.5322829972727874}}",5
6,113.00710908504341,"{'A': 0.3330422789917943, 'B': 0.3339719368908939, 'C': 0.33298578411731183}","{'A': 3.0585257728824216, 'B': 3.337278003026276, 'C': 3.041561059907962}","{1: {'A': 0.50864321382836, 'B': 0.8203780468887322, 'C': 0.3526911929678903}, 2: {'A': 0.50864321382836, 'B': 0.8203780468887322, 'C': 0.3526911929678903}, 3: {'A': 0.50864321382836, 'B': 0.8203780468887322, 'C': 0.3526911929678903}}","{1: {'A': 0.5603151588296953, 'B': 0.5629498683688752, 'C': 0.5588886309953836}, 2: {'A': 0.5603151588296953, 'B': 0.5629498683688752, 'C': 0.5588886309953836}, 3: {'A': 0.5603151588296953, 'B': 0.5629498683688752, 'C': 0.5588886309953836}}",6
7,113.6587287757519,"{'A': 0.33239688102363674, 'B': 0.3343852316001338, 'C': 0.3332178873762295}","{'A': 3.5161688510596725, 'B': 4.112572513547763, 'C': 3.7628601229285765}","{1: {'A': 0.4576430781772509, 'B': 0.7752945105214863, 'C': 0.7212990630206149}, 2: {'A': 0.4576430781772509, 'B': 0.7752945105214863, 'C': 0.7212990630206149}, 3: {'A': 0.4576430781772509, 'B': 0.7752945105214863, 'C': 0.7212990630206149}}","{1: {'A': 0.6495239440056935, 'B': 0.6528939335298816, 'C': 0.652219855128152}, 2: {'A': 0.6495239440056935, 'B': 0.6528939335298816, 'C': 0.652219855128152}, 3: {'A': 0.6495239440056935, 'B': 0.6528939335298816, 'C': 0.652219855128152}}",7
8,114.25189734389782,"{'A': 0.3337394454518781, 'B': 0.3345634488088893, 'C': 0.33169710573923256}","{'A': 4.512427955702485, 'B': 4.759023857545206, 'C': 3.8985914834344344}","{1: {'A': 0.9962591046428121, 'B': 0.6464513439974435, 'C': 0.1357313605058581}, 2: {'A': 0.9962591046428121, 'B': 0.6464513439974435, 'C': 0.1357313605058581}, 3: {'A': 0.9962591046428121, 'B': 0.6464513439974435, 'C': 0.1357313605058581}}","{1: {'A': 0.5981961453896929, 'B': 0.5941698927641141, 'C': 0.5876745868967248}, 2: {'A': 0.5981961453896929, 'B': 0.5941698927641141, 'C': 0.5876745868967248}, 3: {'A': 0.5981961453896929, 'B': 0.5941698927641141, 'C': 0.5876745868967248}}",8
9,114.82897915255501,"{'A': 0.3323704705805002, 'B': 0.33545256331309947, 'C': 0.3321769661064003}","{'A': 4.6784734576360485, 'B': 5.6015067939419545, 'C': 4.620236989060235}","{1: {'A': 0.16604550193356338, 'B': 0.8424829363967481, 'C': 0.7216455056258001}, 2: {'A': 0.16604550193356338, 'B': 0.8424829363967481, 'C': 0.7216455056258001}, 3: {'A': 0.16604550193356338, 'B': 0.8424829363967481, 'C': 0.7216455056258001}}","{1: {'A': 0.5709412750066747, 'B': 0.5814055374978153, 'C': 0.5790492392419395}, 2: {'A': 0.5709412750066747, 'B': 0.5814055374978153, 'C': 0.5790492392419395}, 3: {'A': 0.5709412750066747, 'B': 0.5814055374978153, 'C': 0.5790492392419395}}",9
