,cost,probabilities,shares,p_shares,payments,round_num
0,109.86122886681098,"{'A': 0.3333333333333333, 'B': 0.3333333333333333, 'C': 0.3333333333333333}","{'A': 0.0, 'B': 0.0, 'C': 0.0}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}",0
1,110.43860346802661,"{'A': 0.3343447490142429, 'B': 0.33154566088992704, 'C': 0.3341095900958301}","{'A': 0.8803399017942799, 'B': 0.03962960798372506, 'C': 0.8099808916554853}","{1: {'A': 0.8803399017942799, 'B': 0.03962960798372506, 'C': 0.8099808916554853}, 2: {'A': 0.8803399017942799, 'B': 0.03962960798372506, 'C': 0.8099808916554853}, 3: {'A': 0.8803399017942799, 'B': 0.03962960798372506, 'C': 0.8099808916554853}}","{1: {'A': 0.577374601215638, 'B': 0.577374601215638, 'C': 0.577374601215638}, 2: {'A': 0.577374601215638, 'B': 0.577374601215638, 'C': 0.577374601215638}, 3: {'A': 0.577374601215638, 'B': 0.577374601215638, 'C': 0.577374601215638}}",1
2,110.56996347353423,"{'A': 0.3346774286411575, 'B': 0.3314806935618528, 'C': 0.33384187779698976}","{'A': 1.1111524114030624, 'B': 0.15139240507092788, 'C': 0.8611816861893713}","{1: {'A': 0.2308125096087824, 'B': 0.11176279708720283, 'C': 0.05120079453388604}, 2: {'A': 0.2308125096087824, 'B': 0.11176279708720283, 'C': 0.05120079453388604}, 3: {'A': 0.2308125096087824, 'B': 0.11176279708720283, 'C': 0.05120079453388604}}","{1: {'A': 0.13157916490041544, 'B': 0.13128395788439207, 'C': 0.1310701057947341}, 2: {'A': 0.13157916490041544, 'B': 0.13128395788439207, 'C': 0.1310701057947341}, 3: {'A': 0.13157916490041544, 'B': 0.13128395788439207, 'C': 0.1310701057947341}}",2
3,111.11559355600538,"{'A': 0.33505825208142986, 'B': 0.32972813775687815, 'C': 0.3352136101616921}","{'A': 1.770506009666256, 'B': 0.16691465289989504, 'C': 1.8168627469234124}","{1: {'A': 0.6593535982631935, 'B': 0.015522247828967162, 'C': 0.9556810607340412}, 2: {'A': 0.6593535982631935, 'B': 0.015522247828967162, 'C': 0.9556810607340412}, 3: {'A': 0.6593535982631935, 'B': 0.015522247828967162, 'C': 0.9556810607340412}}","{1: {'A': 0.5447158870180147, 'B': 0.5440224730008509, 'C': 0.5454737380268}, 2: {'A': 0.5447158870180147, 'B': 0.5440224730008509, 'C': 0.5454737380268}, 3: {'A': 0.5447158870180147, 'B': 0.5440224730008509, 'C': 0.5454737380268}}",3
4,111.58750281252681,"{'A': 0.33574364901621473, 'B': 0.3281786017527053, 'C': 0.33607774923107997}","{'A': 2.4467668555851034, 'B': 0.16777268701298664, 'C': 2.5462278859360907}","{1: {'A': 0.6762608459188473, 'B': 0.0008580341130915992, 'C': 0.7293651390126783}, 2: {'A': 0.6762608459188473, 'B': 0.0008580341130915992, 'C': 0.7293651390126783}, 3: {'A': 0.6762608459188473, 'B': 0.0008580341130915992, 'C': 0.7293651390126783}}","{1: {'A': 0.4706032265049487, 'B': 0.4691172850925227, 'C': 0.47095874487260403}, 2: {'A': 0.4706032265049487, 'B': 0.4691172850925227, 'C': 0.47095874487260403}, 3: {'A': 0.4706032265049487, 'B': 0.4691172850925227, 'C': 0.47095874487260403}}",4
5,112.36870113914021,"{'A': 0.3348400049300108, 'B': 0.3285245008064862, 'C': 0.33663549426350303}","{'A': 2.9584552924603047, 'B': 1.0543151438493306, 'C': 3.493245799309622}","{1: {'A': 0.5116884368752013, 'B': 0.886542456836344, 'C': 0.947017913373531}, 2: {'A': 0.5116884368752013, 'B': 0.886542456836344, 'C': 0.947017913373531}, 3: {'A': 0.5116884368752013, 'B': 0.886542456836344, 'C': 0.947017913373531}}","{1: {'A': 0.7797248533422447, 'B': 0.7819934525561223, 'C': 0.7833430816044995}, 2: {'A': 0.7797248533422447, 'B': 0.7819934525561223, 'C': 0.7833430816044995}, 3: {'A': 0.7797248533422447, 'B': 0.7819934525561223, 'C': 0.7833430816044995}}",5
6,112.84999405958251,"{'A': 0.33457363735633555, 'B': 0.32900472558179916, 'C': 0.33642163706186534}","{'A': 3.3601658527870204, 'B': 1.6816775746420554, 'C': 3.9109907090760774}","{1: {'A': 0.4017105603267156, 'B': 0.6273624307927249, 'C': 0.4177449097664554}, 2: {'A': 0.4017105603267156, 'B': 0.6273624307927249, 'C': 0.4177449097664554}, 3: {'A': 0.4017105603267156, 'B': 0.6273624307927249, 'C': 0.4177449097664554}}","{1: {'A': 0.48152694051081824, 'B': 0.48283646521471724, 'C': 0.4815694168561464}, 2: {'A': 0.48152694051081824, 'B': 0.48283646521471724, 'C': 0.4815694168561464}, 3: {'A': 0.48152694051081824, 'B': 0.48283646521471724, 'C': 0.4815694168561464}}",6
7,113.27570070460933,"{'A': 0.33448770377381265, 'B': 0.33043813038044756, 'C': 0.3350741658457399}","{'A': 3.7601846938075947, 'B': 2.54211697724189, 'C': 3.9353625970042057}","{1: {'A': 0.4000188410205743, 'B': 0.860439402599835, 'C': 0.0243718879281285}, 2: {'A': 0.4000188410205743, 'B': 0.860439402599835, 'C': 0.0243718879281285}, 3: {'A': 0.4000188410205743, 'B': 0.860439402599835, 'C': 0.0243718879281285}}","{1: {'A': 0.42853650179250735, 'B': 0.43129250169656075, 'C': 0.4235647762021415}, 2: {'A': 0.42853650179250735, 'B': 0.43129250169656075, 'C': 0.4235647762021415}, 3: {'A': 0.42853650179250735, 'B': 0.43129250169656075, 'C': 0.4235647762021415}}",7
8,113.72610529288715,"{'A': 0.3332971665349596, 'B': 0.3321143413294816, 'C': 0.3345884921355589}","{'A': 3.854025797904699, 'B': 3.4985085165431196, 'C': 4.240716900770651}","{1: {'A': 0.09384110409710411, 'B': 0.9563915393012297, 'C': 0.30535430376644535}, 2: {'A': 0.09384110409710411, 'B': 0.9563915393012297, 'C': 0.30535430376644535}, 3: {'A': 0.09384110409710411, 'B': 0.9563915393012297, 'C': 0.30535430376644535}}","{1: {'A': 0.44802072748684907, 'B': 0.456834602030213, 'C': 0.4505946108416907}, 2: {'A': 0.44802072748684907, 'B': 0.456834602030213, 'C': 0.4505946108416907}, 3: {'A': 0.44802072748684907, 'B': 0.456834602030213, 'C': 0.4505946108416907}}",8
9,114.24639941454184,"{'A': 0.33173047983697823, 'B': 0.3336849583097475, 'C': 0.3345845618532744}","{'A': 3.903154666549331, 'B': 4.490602441695827, 'C': 4.75983635400104}","{1: {'A': 0.04912886864463206, 'B': 0.9920939251527073, 'C': 0.519119453230389}, 2: {'A': 0.04912886864463206, 'B': 0.9920939251527073, 'C': 0.519119453230389}, 3: {'A': 0.04912886864463206, 'B': 0.9920939251527073, 'C': 0.519119453230389}}","{1: {'A': 0.5147706812155945, 'B': 0.5263950707832947, 'C': 0.5208303681031055}, 2: {'A': 0.5147706812155945, 'B': 0.5263950707832947, 'C': 0.5208303681031055}, 3: {'A': 0.5147706812155945, 'B': 0.5263950707832947, 'C': 0.5208303681031055}}",9
